Display_Review_Title,Display_Review,Display_Reviewer_Name,Display_Reviewer_Location,Display_Review_Date,Display_Review_Likes,Display_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
perfect product,writing this review after 3 days of usage first of all a big thank you to flipkart for delivering the product within 20 hours of order placement cheers guys now coming to the phone xiaomi has managed to pull out something incredible here design 8 10 this is where i have seen a lot of negative reviews from the reviewers i was very skeptical initially but after holding the phone my worries were put to rest this phone is certainly not going to turn a lot of eyes but it s not so read more,flipkart customer,bangalore,201809,0,0,perfect product. writing this review after 3 days of usage first of all a big thank you to flipkart for delivering the product within 20 hours of order placement cheers guys now coming to the phone xiaomi has managed to pull out something incredible here design 8 10 this is where i have seen a lot of negative reviews from the reviewers i was very skeptical initially but after holding the phone my worries were put to rest this phone is certainly not going to turn a lot of eyes but it s not so read more,Positive,0.36140117049217224
great product,2 screen resolution and display is awesome along with the very effective response of touch,alok srivastav,navi mumbai,201810,0,0,great product. 2 screen resolution and display is awesome along with the very effective response of touch,Positive,0.8770875930786133
nice,everything is fine but lack of thing is display an average display comparing to other mobiles could have kept a good display like jds display,bujjibabu pala,nidadavole,201902,0,0,nice. everything is fine but lack of thing is display an average display comparing to other mobiles could have kept a good display like jds display,Positive,0.5039868354797363
nice product,excellent mobile but the only issue is with the display,flipkart customer,west godavari,201902,0,0,nice product. excellent mobile but the only issue is with the display,Positive,0.7910341620445251
excellent,but display is very less protection glass because this phone is made up of curved display so very sensitive phone and front display not better than redmi note5 pro mobile display,upendra mokara,bheemunipatnam,201809,2,0,excellent. but display is very less protection glass because this phone is made up of curved display so very sensitive phone and front display not better than redmi note5 pro mobile display,Positive,0.47186222672462463
terrific purchase,no screen breeding issue full hd plus display is very crisp,vishu khurana,ludhiana,201812,0,0,terrific purchase. no screen breeding issue full hd plus display is very crisp,Positive,0.8546692728996277
worth every penny,display touch not good poformance not sitisfect,ashis kumar pradhan,kukudakhandi,201810,0,0,worth every penny. display touch not good poformance not sitisfect,Negative,0.40020617842674255
best in the market,display i heard many bad things about display some complaint screen bleeding issue but i found poco f1 display is very crisp and nice there is no screen bleeding and i am totally satisfied with mobile display,lokesh solanki,ratlam,201811,0,0,best in the market. display i heard many bad things about display some complaint screen bleeding issue but i found poco f1 display is very crisp and nice there is no screen bleeding and i am totally satisfied with mobile display,Positive,0.6016359925270081
pretty good,display excellent no screen bleeding issue brightness enough touch response is very good and no issue,krishnendu roy,erode,201902,0,0,pretty good. display excellent no screen bleeding issue brightness enough touch response is very good and no issue,Positive,0.6192912459373474
just wow,display 3 5 5 ps i haven t seen any screenbleeding around my phone s display,aakash gg,chennai,201906,0,0,just wow. display 3 5 5 ps i haven t seen any screenbleeding around my phone s display,Positive,0.5792392492294312
brilliant,display display is so cool but i had a touch issue like shaking screen,flipkart customer,kottayam,201904,0,0,brilliant. display display is so cool but i had a touch issue like shaking screen,Positive,0.6161013245582581
just wow,only not sooo good thing on this phone is the display everything else is beast,mridul pal,jangipur,201901,0,0,just wow. only not sooo good thing on this phone is the display everything else is beast,Negative,0.34684011340141296
perfect product,screen is fabulous and with a option of full display it kills,sangram patil,navi mumbai,201809,1,0,perfect product. screen is fabulous and with a option of full display it kills,Positive,0.9405149221420288
perfect product,the phone is outstanding and display is amazing,toral shah,navi mumbai,201809,0,0,perfect product. the phone is outstanding and display is amazing,Positive,0.9451339244842529
brilliant,display is great and miui is awesome,flipkart customer,hyderabad,201809,0,0,brilliant. display is great and miui is awesome,Positive,0.9017647504806519
great product,display alone could have been more competitive,manivannan p,chennai,201909,0,0,great product. display alone could have been more competitive,Positive,0.5571183562278748
nice,a major drawback of this mobile is it s display screen display screen breaks very easily,arnab chatterjee,kolkata,201907,2,0,nice. a major drawback of this mobile is it s display screen display screen breaks very easily,Neutral,0.4607624113559723
good,good phone barring poor display its display which stops this phone from becoming a flagship killer,ashutosh,bangalore,201901,1,0,good. good phone barring poor display its display which stops this phone from becoming a flagship killer,Positive,0.43336713314056396
super,screen resolution and display is good,nitin pathak,janjgir champa district,201901,0,0,super. screen resolution and display is good,Positive,0.6522257328033447
mind blowing purchase,display fhd display is one of best features,amol debadwar,bangalore,201901,2,0,mind blowing purchase. display fhd display is one of best features,Positive,0.7738513946533203
mind blowing purchase,display good but when campares to oled display and super amould display little bit low,ganeshprasath,thiruporur,201901,0,0,mind blowing purchase. display good but when campares to oled display and super amould display little bit low,Neutral,0.551657497882843
value for money,display goes up nd down sometimes automatically,guneet singh,ludhiana,201809,1,1,value for money. display goes up nd down sometimes automatically,Neutral,0.3899860978126526
wonderful,great phone but still have problems with display,jerin jolly,ernakulam district,201901,1,0,wonderful. great phone but still have problems with display,Positive,0.5474715232849121
simply awesome,the only issue you find is the display which is bit dull lcd panel and might be the only weak point of this phone,flipkart customer,siliguri,201903,0,0,simply awesome. the only issue you find is the display which is bit dull lcd panel and might be the only weak point of this phone,Positive,0.727358341217041
wonderful,only display issue display is average quality,salim khan,new delhi,201812,0,0,wonderful. only display issue display is average quality,Positive,0.5423533320426941
good,only display issue display is average quality,salim khan,new delhi,201812,0,0,good. only display issue display is average quality,Positive,0.6279329657554626
delightful,for an lcd screen the display is pretty vibrant,a man,bangalore,201812,0,0,delightful. for an lcd screen the display is pretty vibrant,Positive,0.504087507724762
wonderful,and i really get disappointed with its display and touch really disappointed display,flipkart customer,singrauli,201906,0,0,wonderful. and i really get disappointed with its display and touch really disappointed display,Negative,0.3674159348011017
worth every penny,display fhd display is awesome and notch is super and you can get full screen display having one way navigation,flipkart customer,bengaluru,201809,0,0,worth every penny. display fhd display is awesome and notch is super and you can get full screen display having one way navigation,Positive,0.8357481360435486
must buy,no issue and display is also decent ips lcd displays are not too much brighter so no issue against display it looks more natural as compared to amoled displays,sumit kumar,jaipur,201812,1,0,must buy. no issue and display is also decent ips lcd displays are not too much brighter so no issue against display it looks more natural as compared to amoled displays,Positive,0.472500741481781
excellent,very fast and smooth touch display,vaibhav magare,mumbai,201901,1,0,excellent. very fast and smooth touch display,Positive,0.9074094295501709
awesome,best overall performer you dont even have to think about any other smartphones if your budget is around 20k the highlighting point is that you will get snapdragon 845 chipset and liquid cooling for 20k that s fantastic the only cons which i could think of is the build quality the back is polycarbonate which not at all feels premium its jst average but you could put in a case or skin to make it better and you are getting only gorilla glass 3 while there is gorilla glass 6 available at t read more,hemanth harikumar,chennai,201904,0,0,awesome. best overall performer you dont even have to think about any other smartphones if your budget is around 20k the highlighting point is that you will get snapdragon 845 chipset and liquid cooling for 20k that s fantastic the only cons which i could think of is the build quality the back is polycarbonate which not at all feels premium its jst average but you could put in a case or skin to make it better and you are getting only gorilla glass 3 while there is gorilla glass 6 available at t read more,Positive,0.5996466279029846
wonderful,first of all let me tell you all that this is my first time using a xiaomi device 1 build and apperance forget all those who say the build quality is bad and doesn t give any premium feel the phone looks awesome and it feels good in hand and whether it s poly carbonate or glass whats the point since everyone will throw a back case sooner or later 2 miui since i came from stock android world miui seems okay for me the best thing to point out is that the most important apps that read more,akhil chandran,ludhiana,201811,0,0,wonderful. first of all let me tell you all that this is my first time using a xiaomi device 1 build and apperance forget all those who say the build quality is bad and doesn t give any premium feel the phone looks awesome and it feels good in hand and whether it s poly carbonate or glass whats the point since everyone will throw a back case sooner or later 2 miui since i came from stock android world miui seems okay for me the best thing to point out is that the most important apps that read more,Positive,0.5957308411598206
